track_name,artist,album,release_date,track_id,tempo,spectral_centroid,spectral_bandwidth,spectral_rolloff,zero_crossing_rate,chroma_stft
Fall Back,Lithe,Fall Back / Selfish Game,2024-03-22,1aHy1ipWQRNauI0ee9uYfi,123.046875,1177.1547017847934,1632.8163006318323,2262.9545974731445,0.0439605712890625,0.39645115
Ghost Town,Benson Boone,Fireworks & Rollerblades,2024-04-05,6HuHyXviAdpmnQu73JHfBz,117.45383522727273,1708.5552431539902,2393.782329171222,3990.4053497314453,0.04609870910644531,0.41590595
In The Stars,Benson Boone,Fireworks & Rollerblades,2024-04-05,315aBOUD3xtj7sUMXtRgMV,151.99908088235293,2007.4244750792132,2507.374075215187,4451.501884460449,0.08194999694824219,0.36866555
Beautiful Things,Benson Boone,Fireworks & Rollerblades,2024-04-05,3xkHsmpQCBMytMJNiDf3Ii,107.666015625,2559.937483639313,2505.412377342107,5412.3285484313965,0.11314353942871094,0.36782736
